Samples,Androgen,EGFR,Estrogen,Hypoxia,JAK.STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
IL22_IFNL-12h-Rep-1,-0.480603375565606,-0.0352139754381916,0.635991540765479,-0.278296337465239,0.98760741937489,0.632409697898302,0.262544713734613,-1.69843842505209,0.800191088336128,-1.32390994055778,0.222624650661992,-0.766159372796065,-0.571484913342903,1.07786103749259
IL22_IFNL-12h-Rep-2,-0.272923749021793,0.204694704080841,-0.495315914570148,-0.613718866091895,1.0660371836006,1.1433468195173,0.706477298561999,-1.50215154943629,0.595289425673645,-1.13209735853303,0.619275880335905,-0.42708879098537,-0.0871794880175615,2.01400072668457
IL22_IFNL-12h-Rep-3,0.454437033973948,0.257792696505707,0.027943024229817,-0.314752866918832,1.09825056475728,1.29276028161066,0.874723991943052,-1.98473810429579,1.05472053979973,-0.775666621261899,0.774533369227263,-0.328243416136148,-0.17386480913105,1.47736647442614
IL22_IFNL-24h-Rep-1,-0.700186972719808,-0.873167190190273,1.10988487423737,-0.465568633024817,1.15386746856845,-0.111455536843334,-0.192952381766977,-0.252247791482762,-0.114359088454982,-0.851671263137311,-0.291723308287001,1.17096037313671,-0.534259531666835,1.11543513910112
IL22_IFNL-24h-Rep-2,-0.500968245978251,-0.865919982063801,1.19406636235817,-0.186916190756068,1.18981203292827,-0.0488426454045884,-0.186826255794708,-0.866949958129691,-0.208843215339127,-0.726798769206417,-0.312014142205076,0.646284469421289,-0.914248215624878,0.939815856661671
IL22_IFNL-24h-Rep-3,-1.14268224273006,-2.07109352132636,1.25081701316626,2.14030824900165,1.39701724053903,-1.3821199906148,0.246500928181641,1.39444820458287,-2.00512895998726,0.592128458611604,0.122553100407119,4.02913694242682,-0.411697701919403,1.10581521567788
IL22_IFNL-3h-Rep-1,1.82806675622398,1.33971366070871,1.13145476359277,1.47226304146751,0.306249476095973,0.662149712811722,1.77231965037723,1.10660758223286,0.36345257238452,1.16510952539244,1.76431057166553,-0.933503904588186,1.20485812631962,-1.48607187481778
IL22_IFNL-3h-Rep-2,1.33955474467773,1.37054874565444,0.22862886384637,1.37266696702846,0.119549657354043,1.07090747369094,1.48358183679698,0.955749310255708,0.525082692762847,1.72541893245846,1.44426370741057,-1.07123082118831,1.53225056110081,-1.33016632791715
IL22_IFNL-3h-Rep-3,1.37395377981042,1.18039436005958,1.04916477893638,1.43980300741651,0.208861041511249,0.738717575919314,1.45252304477538,0.987998540748256,0.472568230469318,1.54894996574258,1.49870447474731,-0.125369163179396,1.2253899394481,-0.718506247572487
IL22_IFNL-6h-Rep-1,0.902420158714642,0.865375063380739,-0.87499168835295,1.21451335998004,1.0530203998215,1.23302366341593,1.394687718204,-0.515339898211576,0.486124847474491,0.364294364332157,1.28148902262501,-0.26104287620804,1.11285564436167,0.702549900614839
IL22_IFNL-6h-Rep-2,1.40102596397198,1.00125506281822,-0.820326938042281,1.51168372854796,1.0584288977068,1.47524779995251,1.49112659833062,0.643246367763548,0.529471264574063,0.613830684374943,1.3605783509922,-0.412949481404544,1.02028086266841,0.597671975781365
IL22_IFNL-6h-Rep-3,1.58178328988744,0.943401037790812,-1.22947528316367,1.28253038317273,1.00316689767412,1.30710692183607,1.44857657031435,-0.00529774602265543,0.562091284540857,0.610697812915393,1.31412789794059,0.552217615827296,0.991826978167052,0.734615262378122
IFNL-12h-Rep-1,-0.672384818930609,-0.388338893617206,0.526778161189653,-1.38453926478027,1.06533863870861,0.0599334149194844,-0.517387441371479,-0.794496810841811,0.451321990132841,-0.794721553348969,-0.652649831518004,-0.465080077632476,-0.932667509186714,1.79547371019455
IFNL-12h-Rep-2,-0.394095872111636,-0.308502111435039,0.556287293677252,-1.44507135387679,1.06953097948185,0.0828165787392737,-0.600331418105587,-1.19803816967411,0.479051206316017,-0.80310560128663,-0.743422428825115,-0.433093127053534,-0.0679169155548473,1.4821238517524
IFNL-12h-Rep-3,-0.532265116421446,-0.274493797751025,0.16501963676575,-1.00869539651676,1.08993393918753,0.00957172283190999,-0.746232493555368,-0.387619162091419,0.177254446605085,-1.26006034692669,-0.812052804540987,-0.44156870308385,-0.300237967208178,1.02232643719352
IFNL-24h-Rep-1,-1.81453576343284,-1.47770547527983,0.960873158618083,-0.65047556425787,1.20577355663286,-1.86499415558241,-0.744902714766869,0.374364588417828,-1.481982964669,-0.536600175763254,-0.830862818444041,0.860346170278036,-1.55734338403301,-0.134005870861561
IFNL-24h-Rep-2,-0.973979023238224,-1.30770425720986,1.44325562596213,-1.03414271243238,1.14744562851744,-1.21592996986225,-0.886204910955447,0.0945949333636119,-0.654690209693414,-0.776026568464157,-1.01364321747328,1.21539731358763,-1.53863117778607,0.715607979441516
IFNL-24h-Rep-3,-1.46332662544697,-2.08458004002398,0.443064067935445,-0.592190067991204,1.35158355106806,-1.94734881012916,-0.626116922299524,1.82223309618442,-1.68520115245286,0.222625382918829,-0.934119949752107,2.93736453306328,-1.21952827941409,0.595049306805744
IFNL-3h-Rep-1,0.638785315993593,1.13196742109806,0.350092776299903,0.305123821383009,0.314225621781986,0.358388571621228,0.446293768802582,0.173735566997734,0.65868806094719,1.3399583323626,0.314704586482253,-1.08364772099299,0.914556106667317,-0.246349756961468
IFNL-3h-Rep-2,0.858311756405499,0.989796403724846,-0.849429125129403,0.0617833547789497,0.170258956842041,0.416626572836845,0.233716435850301,0.941819078675186,0.690965166842647,1.66091128254974,0.106959850970458,-1.1371040341621,1.03153398219176,-0.294835657683278
IFNL-3h-Rep-3,0.72847617276044,1.0004027974277,0.0159709250524497,0.586777465244813,0.150974374191159,0.405878483351425,0.393668178108315,0.929079447795612,0.619073058517271,1.90492682432923,0.356536115204455,-0.574493885329505,0.748981969448648,-0.517965682328785
IFNL-6h-Rep-1,-0.389079170684169,0.349460474750415,-1.64693028093012,-0.393293999859935,1.11802790364956,0.16534450024419,0.15466399526246,-0.368199004552174,0.652060726290283,0.16463224554454,-0.0334335641373755,0.373982619189213,1.03697605014269,1.15634985079683
IFNL-6h-Rep-2,-0.371718281512182,0.101650491879921,-1.70518970521404,-0.0553698490373774,1.19096099744998,0.0927537887700335,-0.0341056843820168,-0.0152321848425201,0.200671993712781,-0.157387284453445,-0.191968658000142,-0.0246502219547291,1.21929669084518,1.02937138948919
IFNL-6h-Rep-3,-0.0207879336057997,-0.0359473822186482,-2.46752752690346,-0.505387537501944,1.17976354535777,0.151786916563285,0.109053564932319,0.0147387842410537,0.530072248483765,-0.544795763443735,-0.0452518448793462,0.441646628013998,0.521749387234111,0.580570935035769
IL22-12h-Rep-1,-0.687883605231707,-0.220742030546901,0.320821622084844,-0.65243685285671,-1.02824198253354,0.242211966689524,-0.387341401564536,-1.13076470683898,0.150978273949512,-1.18539222248753,-0.220025787828168,-0.463207477601466,-0.848712261466198,0.183012108226352
IL22-12h-Rep-2,-0.65113486068127,-0.00127611255396175,-0.667928943974005,-0.999237333689209,-1.06015671594507,0.335193981644456,-0.112881031128779,-1.72597870814109,0.123512909783495,-0.795008093337733,-0.0114072475155362,-1.09277466986822,-0.16571709163514,0.882671721446307
IL22-12h-Rep-3,0.129003446777473,-0.207507133322237,-0.928315644718376,-0.618945060932757,-0.842918564939344,0.490397948176265,-0.162591237420037,-1.56642558212502,0.59956554643574,-0.837541273841132,-0.0192909564623124,-0.50974477620299,-0.613714782337465,0.99509279823385
IL22-24h-Rep-1,0.0251861020592245,-0.907275040751654,0.602722581218547,-0.957500159981328,-0.901811044045623,-0.443283195635881,-0.866087457313414,-1.49258404713461,-0.498223781897695,-1.1622760366081,-0.835144520397694,-0.221955837566519,-1.62065728709544,0.0231909641018555
IL22-24h-Rep-2,-0.694395596520694,-1.48078838113183,1.23489768196661,-0.248541790258085,0.241149719753218,-0.80639272028609,-0.120435459033942,-0.99468013200574,-1.09870545155981,-0.450292038818756,-0.138608988868636,0.189680517624337,-1.18782206905644,0.477134283054502
IL22-24h-Rep-3,-3.11763612203094,-0.51891399994838,0.242977846759765,0.352109420006703,0.0362824289299358,-2.26657164358819,-0.761768813814649,1.26291418508617,-4.55736418732808,-0.7936665840716,-0.355041324733851,1.36513831985376,-1.48896282846366,-0.873553492286076
IL22-3h-Rep-1,0.993488618010632,1.55396482768405,1.36342863542989,1.6362177089413,-0.935094342592147,0.967677841353421,1.57163272530388,1.34025212351509,0.110181961692305,1.45167225841848,1.71822918423139,-0.638149864758163,1.06463417836549,-1.49195452804094
IL22-3h-Rep-2,1.30721650405704,1.39007170978048,1.44813484331391,1.32746857821368,-0.827747033348018,0.976698549223875,1.4472919975991,0.696210242821223,0.267761691965903,1.75520636340459,1.63052401206311,-0.541504798816583,1.12259065619135,-1.94201373271432
IL22-3h-Rep-3,1.18331342912677,1.44795178322541,0.748801351741665,1.58067306798223,-0.969224658476795,0.86047770859232,1.5149895824192,1.19812378424523,0.249438225523288,1.53156289655936,1.7027082903354,-1.34648457799368,0.706620561071652,-1.30122672273814
IL22-6h-Rep-1,1.35836859620232,0.990800370085712,-0.385736212527129,1.26335818037457,-0.816513735543474,1.26215138711711,1.01581960379584,0.087724485153501,0.758356810179098,0.191310222676872,1.13674791104805,-0.183550990709494,0.975567771036654,0.0326426914282846
IL22-6h-Rep-2,0.880375964312671,1.13942706682108,-0.0198766520511916,1.18514608352682,-0.75872550540726,1.25930853722299,1.2271616838153,0.540305645768173,0.556476535626591,0.580621132916368,1.31225345577444,-0.00634467364926446,0.933114924058474,-0.252627501574662
IL22-6h-Rep-3,1.45280375012343,0.706234065161145,-0.0894421221179569,0.797652232569413,-0.792653550115596,0.984282025045646,0.915972390630227,-0.373997732356935,0.752883774382949,0.39514541940653,0.961811201236658,0.0428941029748971,0.886459275571699,-0.333536376819852
Mock-12h-Rep-1,-0.289411774651846,-0.463702554879198,1.439173716226,-1.27016341618968,-1.49333007909211,-0.459234070695437,-1.3593298905682,-0.200746597866445,0.0926411923385779,-0.977415826475615,-1.29341414029117,-0.129143702284044,-1.23013823596666,-0.134880199443289
Mock-12h-Rep-2,-0.114800047249216,-0.633295743388809,0.0289693755813034,-1.38447058211177,-1.06809811414612,-0.558381285737568,-1.35220260237059,-0.622004252328672,0.242859304237882,-1.06911879638916,-1.3097285896099,-0.118483400396475,-0.846205767125677,-0.730211049263758
Mock-12h-Rep-3,-0.383747577673097,-0.824235204354359,-0.106562331821753,-1.2150759230286,-1.14157042330261,-0.857680616163646,-1.45096546936956,-0.127996076495809,-0.118576468204396,-1.26950887570041,-1.329777221476,-0.124291184188191,-0.93192528071405,-0.771790784014094
Mock-24h-Rep-1,-0.361012779935618,-1.47946445767687,-0.174956849080934,-1.25034494927131,-0.664321990435056,-1.62522640005286,-1.50031807441945,0.179751831774736,-1.03357932124479,-0.333655320857143,-1.6097653137731,0.508788128583037,-1.2501580280573,-0.668466678012374
Mock-24h-Rep-2,-0.563120226120084,-1.13368178222494,0.223945303411864,-1.16481227100167,-1.02533114892253,-1.43582234624514,-1.67403271035578,1.10945104492757,-1.05036919789578,-0.663386464166216,-1.63296552002012,0.176480812838142,-1.51952486804875,-0.961540929486177
Mock-24h-Rep-3,-0.822578954593775,-1.73737761443347,0.914576879277493,-0.304467790180098,-0.346796556173115,-2.22366042255502,-1.67204569016743,1.86366779904526,-1.86803709893981,-0.0264942439967374,-1.69290389588851,1.55203445992938,-1.48821566481323,-0.763819293586028
Mock-3h-Rep-1,0.265592082846339,0.495318844525542,-1.02784563306787,0.0809728947330332,-1.20935126852763,-0.177796096775782,-0.587398555551245,0.597571399409502,0.548128916186119,0.478567861319174,-0.376339506392883,-0.847419934392374,0.595955007883288,-1.05341521450856
Mock-3h-Rep-2,0.384774473098524,0.632252889418538,-1.26016549737409,0.142227609835345,-1.3072975497148,0.0926725180269054,-0.565170307826635,0.951436193217795,0.686055681689198,1.38778914689309,-0.434652965167006,-0.342078069108492,0.819563369972909,-1.2760121808721
Mock-3h-Rep-3,0.195986673614968,0.583310134235381,-1.88698012401319,0.516784851213646,-1.20766236120542,0.0530436425429808,-0.587352534506531,0.368050617296236,0.631216932302877,1.20078966496908,-0.44340577974369,-1.02892553802368,0.917099141751674,-1.08111390256245
Mock-6h-Rep-1,-0.870005874614727,-0.196962647640743,-0.762878873695404,-0.541526912300837,-1.1372613439262,-0.724947084011107,-0.884526015078349,-0.262144131136559,0.069331760668942,-0.753710311720698,-0.744261031471455,0.289101871091441,0.203729747798677,-1.07133212743721
Mock-6h-Rep-2,-0.303736403435218,-0.040259113654353,-1.07794979857516,-0.408866089099645,-1.18390006969625,-0.338244966931983,-0.744322156739559,-1.12001220619273,0.406814575977688,-0.479241507337098,-0.619749152132575,-0.0394479770816599,0.431098500011546,-0.968517864762683
Mock-6h-Rep-3,-0.693923598511227,-0.107636167755444,-1.17991755832245,-0.325256234005477,-1.25511008339554,-0.334954645050641,-0.839496647512607,-0.427991876263542,0.280706160863141,-0.406599935904983,-0.715311123524578,-0.232721808502674,0.28382462535674,-0.33183561975361
